,0,1,2,3,4,5,6,7,8,9,10,11,12,13
302,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
303,1.964295611207932,0.0,0.0,0.0,,,,,,,,,,
304,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
305,1.964295611207932,0.0,0.0,0.0,,,,,,,,,,
306,"(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
307,1.964295611207932,0.0,0.0,0.0,,,,,,,,,,
308,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
309,1.974781569893049,0.0,0.0,0.0,,,,,,,,,,
310,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
311,1.974781569893049,0.0,0.0,0.0,,,,,,,,,,
312,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
313,1.974781569893049,0.0,0.0,0.0,,,,,,,,,,
